Date;Time;ULG95;DK;ULTSU;ULTDK
23.02.2018;09:26;3999;25403;0;4501
24.02.2018;08:29;5300;20303;3002;5001
25.02.2018;23:31;0;18004;0;0
26.02.2018;20:11;10500;11002;0;11001
27.02.2018;12:00;0;0;0;0
28.02.2018;04:53;0;15002;0;18306
01.03.2018;05:52;3701;15000;0;15003
02.03.2018;11:13;3757;14999;0;15003
03.03.2018;12:32;9000;12002;0;12000
04.03.2018;22:01;12000;5001;6001;9001
05.03.2018;12:00;0;0;0;0
06.03.2018;04:37;4000;26003;0;3900
07.03.2018;04:12;0;26004;0;7444
08.03.2018;04:11;5000;25001;0;3999
09.03.2018;03:58;9000;25498;0;0
10.03.2018;04:26;5001;25004;0;4000
11.03.2018;22:12;10601;21001;0;3001
12.03.2018;19:22;5000;21004;3000;5326
13.03.2018;18:56;5000;26000;0;3001
14.03.2018;19:31;5001;24000;0;5003
15.03.2018;22:31;0;29962;4001;0
16.03.2018;19:49;3001;30858;0;0
17.03.2018;12:00;0;0;0;0
18.03.2018;08:06;12001;18003;0;4762
19.03.2018;21:47;0;26002;3001;4797
20.03.2018;17:17;9000;21007;0;4447
21.03.2018;15:33;0;30003;0;3490
22.03.2018;19:55;0;30002;3957;0
23.03.2018;10:04;16001;11900;3001;4500
24.03.2018;17:42;6001;25003;0;3000
25.03.2018;12:00;0;0;0;0
26.03.2018;06:16;7001;23005;3001;0
27.03.2018;06:59;4999;24001;0;4800
28.03.2018;05:40;0;20278;0;0
28.03.2018;20:43;11001;20003;0;3000
29.03.2018;20:40;5000;25011;0;3005
30.03.2018;22:11;3436;24506;5001;0
31.03.2018;12:00;0;0;0;0
01.04.2018;12:00;0;0;0;0
02.04.2018;12:00;0;0;0;0
03.04.2018;05:55;12001;16004;0;6422
03.04.2018;22:15;6677;23953;4001;0
04.04.2018;22:24;4001;26928;0;3001
05.04.2018;21:18;3001;29857;0;0
06.04.2018;20:49;3316;24502;0;6001
07.04.2018;12:00;0;0;0;0
08.04.2018;22:47;0;33532;0;0
09.04.2018;17:30;9557;25002;0;0
10.04.2018;22:38;12917;22001;0;0
11.04.2018;22:53;7001;21502;0;5002
12.04.2018;12:00;0;0;0;0
13.04.2018;06:06;4556;24999;5000;0
14.04.2018;00:09;4001;26927;0;3002
15.04.2018;11:31;9000;17002;0;8001
16.04.2018;12:26;6000;21001;7001;0
17.04.2018;10:42;6000;24005;0;3000
18.04.2018;06:59;0;16000;0;0
18.04.2018;23:01;9000;21002;0;4443
19.04.2018;22:39;5001;29005;0;0
20.04.2018;12:00;0;0;0;0
21.04.2018;02:27;0;9001;0;0
21.04.2018;04:25;5000;29005;0;0
22.04.2018;14:34;10501;21401;3002;0
23.04.2018;22:33;3000;30800;0;0
24.04.2018;19:55;6000;20003;3557;4942
25.04.2018;20:54;6001;25003;0;3138
26.04.2018;16:02;6999;24604;3000;0
27.04.2018;23:05;0;30001;0;3490
28.04.2018;21:56;9001;25001;0;0
29.04.2018;20:59;10001;11300;3917;9000
30.04.2018;18:43;9002;15002;0;9001
01.05.2018;12:00;0;0;0;0
02.05.2018;08:57;0;16000;4557;0
02.05.2018;22:19;12001;19704;0;3001
03.05.2018;12:00;0;0;0;0
04.05.2018;12:20;6001;21001;3001;3799
05.05.2018;10:06;6000;19001;0;0
06.05.2018;12:47;0;9000;0;0
07.05.2018;12:19;9001;25000;0;0
08.05.2018;11:53;6001;24003;0;4126
09.05.2018;10:04;4000;26925;0;3000
10.05.2018;08:49;6101;25001;3001;0
11.05.2018;04:20;4001;24500;0;5001
12.05.2018;06:45;5001;26003;0;3000
13.05.2018;17:50;9000;17998;5002;2999
14.05.2018;19:37;6001;25142;0;3001
15.05.2018;19:48;3001;30804;0;0
16.05.2018;22:19;0;29003;5002;0
17.05.2018;12:00;0;0;0;0
18.05.2018;04:26;5001;28001;0;0
19.05.2018;09:00;9999;24604;0;0
20.05.2018;21:42;13979;16999;0;3003
21.05.2018;12:00;0;0;0;0
22.05.2018;04:28;8437;26003;0;0
23.05.2018;04:00;0;27002;0;6456
24.05.2018;03:35;6197;27003;0;0
25.05.2018;03:44;5555;25004;4000;0
26.05.2018;04:30;8901;25503;0;0
27.05.2018;10:56;9002;12001;5002;8900
28.05.2018;11:59;12001;9000;3001;11008
28.05.2018;15:03;0;33502;0;0
29.05.2018;22:59;5001;29069;0;0
30.05.2018;23:27;6198;28002;0;0
31.05.2018;21:52;6000;20301;3000;4442
01.06.2018;12:00;0;0;0;0
02.06.2018;10:06;7001;24001;0;3243
03.06.2018;23:02;3999;11999;0;0
04.06.2018;20:09;9001;25499;0;0
